id,MW,HBA,HBD,RotB,LogP,TPSA,GBSA,docking score
1379,360.5,6,2,8,3.03,98.6,-60.3162739248655,-6.6139688133025
1380,367.3,4,2,3,5.01,54.0,-60.5420713171161,-6.61296171725981
1381,460.6,8,1,10,3.61,85.1,-60.034208467503,-6.61234303459099
1382,424.5,8,1,5,3.02,94.7,-56.8487748376538,-6.61194942265921
1383,393.5,6,1,6,3.07,61.9,-60.8378419659393,-6.61124079033309
1384,369.5,5,2,10,3.51,70.1,-60.0993544728581,-6.61110098847412
1385,401.7,2,0,3,6.19,36.7,-60.8300676975778,-6.60950885115695
1386,386.8,4,1,3,5.58,58.9,-58.1087799235238,-6.60824553986863
1387,421.6,6,1,10,4.66,72.8,-60.6339524130462,-6.6077305167144
1388,419.5,9,0,7,1.82,128.5,-58.3848339541446,-6.6068958656318
1389,413.5,6,2,5,3.73,78.5,-57.7949461330609,-6.60523623054217
1390,468.9,9,3,7,3.45,121.8,-60.1688756646745,-6.60420223200947
1391,432.7,3,0,3,4.8,37.4,-59.0967966557992,-6.6022400265284
1392,353.4,5,2,4,3.99,71.1,-57.5810720225254,-6.60206894682071
1393,375.8,5,0,3,3.54,55.8,-58.8772948102705,-6.60194824865323
1394,443.5,6,1,8,5.29,67.4,-66.8905918428973,-6.60180098753594
1395,376.4,8,1,6,1.96,93.0,-60.1043039754795,-6.60057731967586
1396,463.6,8,2,13,3.87,110.5,-64.3177557835015,-6.60030622235656
1397,434.6,6,2,6,5.35,94.0,-56.5405271419068,-6.59909336144049
1398,393.5,6,0,7,3.76,72.4,-58.7131048329902,-6.59808781912651
1399,353.9,4,1,7,4.62,46.9,-57.8782774334495,-6.59551619711189
1400,377.9,6,1,10,3.28,77.2,-59.48302266881,-6.59531040061139
1401,412.8,5,1,5,4.36,58.6,-56.8499372207534,-6.5949569917522
1402,474.5,8,0,7,3.36,93.2,-59.4204617090554,-6.59493581724142
1403,466.3,5,0,5,2.39,77.5,-56.4808253910724,-6.59488596244028
1404,424.5,5,1,9,4.32,64.4,-56.986611991184,-6.59084908679702
1405,453.5,8,2,11,2.76,98.1,-56.4961320126704,-6.58861842168259
1406,349.4,6,1,9,3.09,72.7,-61.8154631208172,-6.5886059570097
1407,368.5,7,1,8,1.86,92.8,-57.9305731985123,-6.58755991361448
1408,449.6,6,2,7,4.15,87.3,-56.7386339617105,-6.58691268244077
1409,426.9,5,1,8,4.53,64.4,-57.1046223876592,-6.58667857210821
1410,452.7,6,3,7,4.59,89.4,-60.5537570487768,-6.58645456028634
1411,370.4,7,1,7,2.48,92.3,-58.7729308105845,-6.58609569783567
1412,430.9,6,1,5,4.41,75.2,-58.0173077881382,-6.58576862484135
1413,447.5,4,0,6,5.42,37.6,-61.0003928768292,-6.5855714385463
1414,342.4,6,1,5,1.75,65.5,-57.2184566817677,-6.58546914801786
1415,410.5,7,2,4,3.03,91.4,-58.7968162343477,-6.58476364988442
1416,405.5,5,1,8,3.55,66.8,-63.9963992297162,-6.58375694686529
1417,431.4,7,1,4,2.8,88.1,-60.9214490995655,-6.5832507457603
1418,354.4,7,1,7,1.62,74.8,-59.2111633380937,-6.58070736696182
1419,446.5,9,3,7,2.72,113.7,-59.2927464835866,-6.58069675527829
1420,350.4,6,1,9,3.15,69.0,-62.3831534238743,-6.58057200875274
1421,386.5,6,1,8,3.3,75.2,-62.1135052766012,-6.57922757253965
1422,457.9,8,3,12,3.69,107.9,-58.7351279159557,-6.57861013311005
1423,382.9,6,2,7,3.26,73.4,-57.2340910226503,-6.57857784103119
1424,380.4,7,1,5,1.98,78.5,-57.9529338513439,-6.57601144434242
1425,444.9,8,2,8,3.96,118.0,-60.8542161110545,-6.57425246190388
1426,391.5,6,3,10,3.5,89.4,-63.4040931537866,-6.57396634451379
1427,331.4,6,0,5,2.64,65.6,-57.2102783917644,-6.57185648474016
1428,435.0,5,1,9,5.31,68.3,-57.4728755359538,-6.57161273144225
1429,352.4,4,0,4,2.81,40.6,-58.7758879758167,-6.571556858672
1430,424.6,6,2,10,3.61,75.5,-57.4956105643705,-6.5704532574313
1431,470.6,7,2,12,4.28,95.5,-62.7246456417733,-6.5696785283399
1432,391.5,5,1,6,3.8,62.3,-56.5490856519264,-6.56958521546454
1433,473.5,8,2,12,5.14,100.8,-58.9358977789998,-6.56922663899788
1434,394.9,4,0,5,5.6,55.1,-59.1182893831628,-6.56913602167311
1435,456.6,6,1,7,5.03,67.2,-60.9903605843228,-6.56657119733506
1436,376.9,5,1,6,4.8,67.8,-57.4601055878384,-6.56630117029006
1437,418.5,7,1,10,2.85,92.8,-56.6906595792334,-6.56591764065246
1438,402.8,9,2,5,0.82,108.2,-61.4534508226434,-6.56545879800189
1439,366.5,4,0,6,3.68,42.4,-58.736722730242,-6.56524632009197
1440,377.9,6,1,10,3.28,77.2,-57.4129896158265,-6.56347670051561
1441,314.8,5,0,3,3.81,75.6,-57.3324377945373,-6.56126155076814
1442,446.9,7,1,8,3.22,88.8,-57.9183065743446,-6.56073404939133
1443,411.5,6,2,9,2.99,78.5,-58.6310823513013,-6.55991337490776
1444,453.5,7,2,8,2.76,87.7,-59.0502411752068,-6.55598666144927
1445,477.6,7,0,12,3.58,99.5,-57.571067790399,-6.55537261617991
1446,475.5,5,2,10,5.2,74.8,-66.9478680039156,-6.55501587248107
1447,394.5,7,1,7,2.49,84.4,-62.7136405893425,-6.55490811892069
1448,430.5,7,2,7,3.05,102.3,-56.8214651467015,-6.55343648551663
1449,381.4,4,0,5,4.32,46.6,-59.8772247719307,-6.55275373241741
1450,437.5,7,1,6,2.96,90.9,-62.4652670760597,-6.55209806605725
1451,459.9,6,1,8,5.81,67.4,-69.1976472096894,-6.55040849105709
1452,341.5,4,2,5,3.53,38.7,-56.9960014587514,-6.55025268145751
1453,400.5,6,2,8,4.53,83.8,-57.4255940844487,-6.5497234240448
1454,336.4,3,0,6,4.36,43.4,-57.1179124517339,-6.54967339594924
1455,362.4,5,2,5,3.03,76.5,-59.3407410837835,-6.54744467188281
1456,386.4,9,2,5,0.31,108.2,-56.556701203318,-6.54545725486729
1457,443.5,8,2,7,2.14,104.8,-56.7271677894605,-6.54530324476181
1458,474.5,8,0,7,3.36,93.2,-62.4837732527694,-6.54509744263234
1459,351.4,5,0,6,3.3,74.1,-56.9649236403266,-6.54393207149308
1460,398.5,5,0,5,3.1,57.7,-61.9895269972039,-6.54376012970635
1461,412.9,6,0,5,4.44,71.6,-58.4377402774026,-6.54299872767934
1462,429.9,6,3,9,4.0,89.4,-56.4151422291197,-6.5428049039167
1463,476.6,7,2,5,4.31,101.6,-64.1139665912669,-6.54241174440485
1464,470.5,8,2,9,3.59,101.8,-58.8330411251509,-6.54070060276089
1465,405.5,4,2,9,3.66,60.8,-67.7906089938751,-6.54068477128012
1466,493.5,6,2,10,4.16,78.1,-67.646964531601,-6.54046646896881
1467,404.4,8,1,6,1.55,94.2,-56.6872825280334,-6.53952266048013
1468,473.5,8,2,12,5.14,100.8,-63.4054351424129,-6.53740809220205
1469,480.5,7,1,5,3.74,82.1,-59.3165469248097,-6.53692763673274
1470,452.7,6,3,7,4.59,89.4,-56.4196305547994,-6.5365416214098
1471,454.6,8,1,9,2.6,93.5,-62.498286808278,-6.53586830978415
1472,349.4,6,0,4,2.17,73.6,-59.3516976722904,-6.53524545677271
1473,464.5,9,3,8,3.39,125.0,-56.3262537793989,-6.53452595905798
1474,368.4,7,2,7,1.93,87.3,-57.8385197797761,-6.53441373094415
1475,433.5,6,3,6,3.03,92.5,-56.3832252699858,-6.53428311284323
1476,380.2,6,0,3,3.86,66.7,-59.5041779545827,-6.53262702035257
1477,472.5,7,0,7,3.96,84.0,-64.1008865913709,-6.53256677972034
1478,473.6,8,2,6,4.06,105.4,-56.7325734237311,-6.53027493971692
1479,369.4,6,0,4,3.3,76.3,-62.2678345485547,-6.53026411834533
1480,486.6,9,3,8,1.54,110.6,-61.5742781299305,-6.5301687425048
1481,365.5,5,0,7,3.61,74.1,-58.0003887550611,-6.52990533141587
1482,440.4,6,0,3,5.03,63.6,-57.6491588024555,-6.5298707470979
1483,413.4,5,0,5,5.01,69.4,-59.2910968394235,-6.52855245425301
1484,430.5,9,3,8,2.25,124.9,-60.5419834655822,-6.5283853257985
1485,458.6,6,0,8,4.53,60.2,-60.0752582475207,-6.52775210560346
1486,420.7,6,0,4,4.29,65.6,-59.718654080144,-6.52766840497385
1487,398.5,5,1,8,3.76,64.4,-57.7921170369991,-6.52671242983918
1488,382.4,9,1,7,0.89,103.9,-60.4791327798566,-6.52653769843093
1489,361.9,5,1,7,3.88,56.2,-60.4703274290896,-6.52460032443235
1490,407.3,5,1,7,4.77,58.6,-58.0535743478667,-6.52446700822847
1491,448.3,7,1,8,2.94,82.3,-59.5478395538921,-6.52341672840878
1492,406.8,6,2,5,4.61,98.5,-57.4622822890988,-6.52234071121591
1493,457.4,8,1,7,3.74,91.0,-58.9480943079698,-6.52175126310511
1494,386.9,4,1,5,3.84,49.4,-60.4007434566774,-6.52151921122927
1495,384.3,3,0,4,4.87,37.4,-59.9677566675173,-6.52091875551667
1496,304.4,5,1,9,2.07,58.6,-57.0930218104177,-6.52050516272537
1497,404.4,7,1,6,2.56,77.6,-56.3382939271442,-6.52038498979329
1498,423.3,8,2,7,2.81,100.6,-59.4492856726001,-6.5189006137275
1499,293.4,4,1,10,2.19,41.9,-57.1331527088214,-6.5188347812528
1500,426.9,8,1,8,1.81,93.5,-60.9334978215311,-6.51596024280495
1501,378.5,7,1,11,2.91,75.9,-64.3063536609498,-6.5155354966814
1502,352.4,4,1,3,4.49,51.1,-60.829741249976,-6.51340103347487
1503,471.4,5,1,8,4.64,64.4,-58.925031255867,-6.51336457803971
1504,496.4,6,0,4,5.02,58.6,-56.3954209600406,-6.51309227623072
1505,430.4,6,0,5,5.0,69.9,-60.8834192990116,-6.50884344463265
1506,354.5,6,1,5,2.6,70.5,-56.7748416415825,-6.50830902036708
1507,479.6,9,2,11,3.92,119.1,-65.7924040317184,-6.50812486098665
1508,460.5,7,0,6,3.94,84.0,-62.3382209204356,-6.50686997955564
1509,432.4,7,1,7,3.35,78.3,-60.4970800550427,-6.50596401674819
1510,431.5,7,2,5,3.13,91.9,-63.4880154617758,-6.5059384283346
1511,462.6,7,1,6,3.87,74.8,-59.7837771222921,-6.50506987189229
1512,366.5,6,1,5,2.45,75.7,-56.6745609616955,-6.50501923228078
1513,441.6,4,0,10,5.85,38.8,-62.164183769688,-6.50450610637418
1514,335.5,4,2,10,4.21,64.9,-56.5650986814308,-6.50414496140836
1515,465.5,6,1,8,5.03,64.9,-58.7964894210872,-6.50409127008072
1516,369.8,6,0,4,2.88,65.6,-56.6372970313141,-6.50337755740208
1517,423.5,6,3,11,4.05,89.4,-60.1942737120753,-6.50327261144127
1518,456.5,8,3,10,4.34,111.6,-60.7814508647016,-6.5022353076853
1519,459.9,6,1,8,5.81,67.4,-69.1887345989453,-6.50219438254823
1520,349.3,4,2,3,4.87,54.0,-57.9267936063161,-6.50126642647744
1521,449.6,5,2,10,5.66,63.2,-61.9425655377418,-6.501229560931
1522,452.6,6,1,9,4.55,75.2,-63.7264867443464,-6.50088506378992
1523,489.0,8,1,9,3.26,93.5,-63.2074664386319,-6.49986797626934
1524,432.5,7,0,4,3.32,84.0,-57.9264131439522,-6.49928352554608
1525,384.5,5,1,6,3.9,59.8,-56.9012278003784,-6.49888617210053
1526,414.4,10,0,5,2.13,124.1,-61.1756286607424,-6.49878153574288
1527,389.9,5,2,4,3.54,79.5,-61.9735274867953,-6.49790893682639
1528,364.6,3,0,5,4.73,42.8,-60.4341144502123,-6.49789894012953
1529,443.7,3,0,3,4.37,37.4,-59.4229529179484,-6.49711883962143
1530,494.7,10,2,6,3.03,122.1,-56.6300337221246,-6.49616398305364
1531,476.6,8,2,10,4.17,102.3,-65.5761054328559,-6.49604294555179
1532,421.5,6,0,4,4.62,63.9,-60.5795622788819,-6.49468083806602
1533,427.5,8,1,6,1.64,105.1,-58.3244093968906,-6.49456139149733
1534,360.5,5,1,7,4.27,52.0,-58.0406226557625,-6.49363738772458
1535,490.6,10,1,12,2.97,111.5,-72.2903971345177,-6.4932515855961
1536,349.4,6,0,5,2.78,65.6,-59.9508393335927,-6.49289556147745
1537,427.5,8,0,9,2.92,94.6,-56.8366423475718,-6.49275084550214
1538,363.5,4,1,10,4.02,55.4,-57.9737266828279,-6.49193095421496
1539,388.8,9,1,5,0.93,103.9,-57.8864907489578,-6.49169720549451
1540,440.8,5,1,7,5.14,58.6,-56.2423957959691,-6.49139247168627
1541,477.0,7,1,8,5.2,72.5,-56.4880708493629,-6.49127078362058
1542,486.0,6,2,9,5.2,91.2,-61.4949211117118,-6.4902018573184
